# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
2.50000000000e-01 3.05131280628e+01 1.52516349361e-10 2.71775027395e-04 2.00503406587e-10 1.99582724898e-10 4.01791324120e-10 7.89374547076e+00 3.38275690962e-02
2.60000000000e-01 3.04667635324e+01 2.06822683855e-10 2.96079474366e-04 2.00505685769e-10 1.99585663251e-10 4.01684230850e-10 7.89758664042e+00 3.38343838720e-02
2.70000000000e-01 3.03819739654e+01 2.80303733861e-10 3.26128862235e-04 2.00507803645e-10 1.99588645088e-10 4.01568274917e-10 7.91038060942e+00 3.38435981697e-02
2.80000000000e-01 3.02625224011e+01 3.79525397898e-10 3.63244838150e-04 2.00509772301e-10 1.99591671464e-10 4.01443556889e-10 7.93113330749e+00 3.38560301790e-02
2.90000000000e-01 3.01102846500e+01 5.13193606259e-10 4.08948472675e-04 2.00511602975e-10 1.99594743465e-10 4.01310382523e-10 7.95937978627e+00 3.38727618816e-02
3.00000000000e-01 2.99258167379e+01 6.92794367136e-10 4.64947474282e-04 2.00513306092e-10 1.99597862216e-10 4.01169283970e-10 7.99504524882e+00 3.38952156506e-02
3.10000000000e-01 2.97088100205e+01 9.33396694335e-10 5.33104402350e-04 2.00514891311e-10 1.99601028878e-10 4.01021030023e-10 8.03834448560e+00 3.39252485392e-02
3.20000000000e-01 2.94584736994e+01 1.25464693466e-09 6.15382854011e-04 2.00516367562e-10 1.99604244650e-10 4.00866622284e-10 8.08970614498e+00 3.39652659437e-02
3.30000000000e-01 2.91738757467e+01 1.68198280210e-09 7.13771044933e-04 2.00517743098e-10 1.99607510774e-10 4.00707275665e-10 8.14971161996e+00 3.40183551617e-02
3.40000000000e-01 2.88542561287e+01 2.24809373835e-09 8.30185583631e-04 2.00519025534e-10 1.99610828531e-10 4.00544384000e-10 8.21904280025e+00 3.40884374049e-02
3.50000000000e-01 2.84993203718e+01 2.99465069812e-09 9.66361873415e-04 2.00520221894e-10 1.99614199249e-10 4.00379473984e-10 8.29843372183e+00 3.41804339300e-02
3.60000000000e-01 2.81095055792e+01 3.97432458769e-09 1.12374049807e-03 2.00521338650e-10 1.99617624300e-10 4.00214152609e-10 8.38862435265e+00 3.43004381203e-02
3.70000000000e-01 2.76861998839e+01 5.25310981832e-09 1.30336028540e-03 2.00522381767e-10 1.99621105104e-10 4.00050053843e-10 8.49031681728e+00 3.44558808128e-02
3.80000000000e-01 2.72318864438e+01 6.91297032087e-09 1.50576814485e-03 2.00523356736e-10 1.99624643131e-10 3.99888789488e-10 8.60413672191e+00 3.46556715398e-02
3.90000000000e-01 2.67501795689e+01 9.05483185003e-09 1.73095358601e-03 2.00524268612e-10 1.99628239901e-10 3.99731907218e-10 8.73060398502e+00 3.49102946455e-02
4.00000000000e-01 2.62457233972e+01 1.18019577208e-08 1.97831286554e-03 2.00525122050e-10 1.99631896991e-10 3.99580856632e-10 8.87011918037e+00 3.52318378112e-02
4.10000000000e-01 2.57239406944e+01 1.53037616218e-08 2.24664481492e-03 2.00525921336e-10 1.99635616032e-10 3.99436962593e-10 9.02297044294e+00 3.56339327569e-02
4.20000000000e-01 2.51906438965e+01 1.97401251297e-08 2.53417802494e-03 2.00526670414e-10 1.99639398713e-10 3.99301404401e-10 9.18936388676e+00 3.61315947141e-02
4.30000000000e-01 2.46515530059e+01 2.53262872320e-08 2.83862721099e-03 2.00527372917e-10 1.99643246786e-10 3.99175199574e-10 9.36947559181e+00 3.67409585260e-02
4.40000000000e-01 2.41117922640e+01 3.23183484036e-08 3.15727502603e-03 2.00528032189e-10 1.99647162066e-10 3.99059191634e-10 9.56351779687e+00 3.74789232953e-02
