# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
3.20000000000e-01 2.54067034584e+01 6.27101863123e-08 3.67798989369e-03 2.12671048433e-10 2.06817743478e-10 3.31793987730e-10 5.55179774061e+00 4.23451420838e-02
3.30000000000e-01 2.47527473971e+01 8.05859762407e-08 4.01489925208e-03 2.12679875202e-10 2.06838704290e-10 3.31796126630e-10 5.68447678292e+00 4.35689581519e-02
3.40000000000e-01 2.40746997842e+01 1.02869346959e-07 4.35081679207e-03 2.12688104470e-10 2.06859996800e-10 3.31805604329e-10 5.83605747579e+00 4.50226451370e-02
3.50000000000e-01 2.33749641245e+01 1.30412073563e-07 4.68289622078e-03 2.12695781307e-10 2.06881629598e-10 3.31821935506e-10 6.00790614709e+00 4.67250733556e-02
3.60000000000e-01 2.26566236326e+01 1.64159819515e-07 5.00857858556e-03 2.12702947247e-10 2.06903611580e-10 3.31844613929e-10 6.20107102450e+00 4.86912947589e-02
3.70000000000e-01 2.19237618661e+01 2.05144847650e-07 5.32563421664e-03 2.12709640554e-10 2.06925951956e-10 3.31873121023e-10 6.41620287543e+00 5.09320733116e-02
3.80000000000e-01 2.11815308521e+01 2.54475852386e-07 5.63218870066e-03 2.12715896468e-10 2.06948660268e-10 3.31906935480e-10 6.65351447782e+00 5.34538276525e-02
3.90000000000e-01 2.04359170174e+01 3.13326143619e-07 5.92673283129e-03 2.12721747434e-10 2.06971746398e-10 3.31945543008e-10 6.91278662858e+00 5.62589443171e-02
4.00000000000e-01 1.96932714075e+01 3.82921427305e-07 6.20811772245e-03 2.12727223323e-10 2.06995220588e-10 3.31988445415e-10 7.19341813155e+00 5.93463565903e-02
4.10000000000e-01 1.89597461567e+01 4.64528058457e-07 6.47553724731e-03 2.12732351635e-10 2.07019093447e-10 3.32035168489e-10 7.49450825317e+00 6.27122551756e-02
4.20000000000e-01 1.82407880907e+01 5.59442066836e-07 6.72850057304e-03 2.12737157689e-10 2.07043375972e-10 3.32085268317e-10 7.81495508001e+00 6.63508041820e-02
4.30000000000e-01 1.75407945385e+01 6.68978721554e-07 6.96679778998e-03 2.12741664801e-10 2.07068079558e-10 3.32138335913e-10 8.15355290573e+00 7.02547692067e-02
4.40000000000e-01 1.68629688426e+01 7.94462097209e-07 7.19046154021e-03 2.12745894442e-10 2.07093216021e-10 3.32194000199e-10 8.50907529044e+00 7.44160079591e-02
