# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
7.20000000000e-01 5.70336212555e+00 4.82484316539e-06 9.59083735977e-03 2.23845409957e-10 2.10972481914e-10 2.58575114569e-10 2.70428007731e+01 -2.45973601691e-01
7.30000000000e-01 5.54270244098e+00 5.10352318685e-06 9.62458971724e-03 2.23847788137e-10 2.11094824301e-10 2.58638089504e-10 2.74770301097e+01 -2.53569942517e-01
7.40000000000e-01 5.39056067607e+00 5.38986658063e-06 9.65650486956e-03 2.23850059575e-10 2.11220068659e-10 2.58702663768e-10 2.78986103787e+01 -2.61225473127e-01
7.50000000000e-01 5.24629986550e+00 5.68384932766e-06 9.68674212288e-03 2.23852230064e-10 2.11348307672e-10 2.58768870520e-10 2.83074473848e+01 -2.68940202179e-01
7.60000000000e-01 5.10934451357e+00 5.98544818032e-06 9.71544428306e-03 2.23854305031e-10 2.11479636254e-10 2.58836744366e-10 2.87034443655e+01 -2.76714190267e-01
7.70000000000e-01 4.97917348823e+00 6.29464074181e-06 9.74273943844e-03 2.23856289567e-10 2.11614151367e-10 2.58906321345e-10 2.90865011197e+01 -2.84547546202e-01
7.80000000000e-01 4.85531382351e+00 6.61140554227e-06 9.76874255919e-03 2.23858188446e-10 2.11751951802e-10 2.58977638929e-10 2.94565132136e+01 -2.92440423863e-01
7.90000000000e-01 4.73733531338e+00 6.93572210984e-06 9.79355692832e-03 2.23860006149e-10 2.11893137897e-10 2.59050736025e-10 2.98133712480e+01 -3.00393019498e-01
8.00000000000e-01 4.62484579274e+00 7.26757103541e-06 9.81727541967e-03 2.23861746885e-10 2.12037811183e-10 2.59125652978e-10 3.01569601764e+01 -3.08405569343e-01
8.10000000000e-01 4.51748701391e+00 7.60693403025e-06 9.83998163705e-03 2.23863414610e-10 2.12186073958e-10 2.59202431585e-10 3.04871586643e+01 -3.16478347514e-01
8.20000000000e-01 4.41493103859e+00 7.95379397621e-06 9.86175092847e-03 2.23865013043e-10 2.12338028768e-10 2.59281115104e-10 3.08038384878e+01 -3.24611664098e-01
8.30000000000e-01 4.31687707582e+00 8.30813496829e-06 9.88265128790e-03 2.23866545680e-10 2.12493777782e-10 2.59361748275e-10 3.11068639625e+01 -3.32805863411e-01
8.40000000000e-01 4.22304870570e+00 8.66994234990e-06 9.90274415658e-03 2.23868015815e-10 2.12653422053e-10 2.59444377340e-10 3.13960914060e+01 -3.41061322391e-01
8.50000000000e-01 4.13319143704e+00 9.03920274076e-06 9.92208513445e-03 2.23869426547e-10 2.12817060647e-10 2.59529050066e-10 3.16713686271e+01 -3.49378449109e-01
8.60000000000e-01 4.04707055424e+00 9.41590405833e-06 9.94072461145e-03 2.23870780797e-10 2.12984789618e-10 2.59615815773e-10 3.19325344458e+01 -3.57757681391e-01
8.70000000000e-01 3.96446921483e+00 9.80003553275e-06 9.95870832765e-03 2.23872081318e-10 2.13156700824e-10 2.59704725365e-10 3.21794182410e+01 -3.66199485519e-01
8.80000000000e-01 3.88518676487e+00 1.01915877161e-05 9.97607787008e-03 2.23873330707e-10 2.13332880553e-10 2.59795831361e-10 3.24118395286e+01 -3.74704355037e-01
8.90000000000e-01 3.80903724352e+00 1.05905524865e-05 9.99287111337e-03 2.23874531412e-10 2.13513407945e-10 2.59889187933e-10 3.26296075718e+01 -3.83272809624e-01
9.00000000000e-01 3.73584805262e+00 1.09969230474e-05 1.00091226106e-02 2.23875685747e-10 2.13698353204e-10 2.59984850944e-10 3.28325210245e+01 -3.91905394058e-01
9.10000000000e-01 3.66545877009e+00 1.14106939223e-05 1.00248639401e-02 2.23876795896e-10 2.13887775564e-10 2.60082877992e-10 3.30203676131e+01 -4.00602677245e-01
9.20000000000e-01 3.59772008917e+00 1.18318609466e-05 1.00401240131e-02 2.23877863921e-10 2.14081721011e-10 2.60183328448e-10 3.31929238580e+01 -4.09365251333e-01
9.30000000000e-01 3.53249286796e+00 1.22604212549e-05 1.00549293469e-02 2.23878891775e-10 2.14280219750e-10 2.60286263512e-10 3.33499548421e+01 -4.18193730890e-01
9.40000000000e-01 3.46964727573e+00 1.26963732661e-05 1.00693043077e-02 2.23879881302e-10 2.14483283404e-10 2.60391746255e-10 3.34912140299e+01 -4.27088752148e-01
9.50000000000e-01 3.40906202441e+00 1.31397166652e-05 1.00832713257e-02 2.23880834247e-10 2.14690901963e-10 2.60499841674e-10 3.36164431458e+01 -4.36050972330e-01
9.60000000000e-01 3.35062367526e+00 1.35904523830e-05 1.00968510871e-02 2.23881752263e-10 2.14903040486e-10 2.60610616748e-10 3.37253721170e+01 -4.45081069020e-01
9.70000000000e-01 3.29422601197e+00 1.40485825732e-05 1.01100627047e-02 2.23882636915e-10 2.15119635595e-10 2.60724140496e-10 3.38177190927e+01 -4.54179739616e-01
9.80000000000e-01 3.23976947250e+00 1.45141105874e-05 1.01229238693e-02 2.23883489687e-10 2.15340591795e-10 2.60840484034e-10 3.38931905477e+01 -4.63347700829e-01
9.90000000000e-01 3.18716063332e+00 1.49870409481e-05 1.01354509855e-02 2.23884311982e-10 2.15565777698e-10 2.60959720643e-10 3.39514814834e+01 -4.72585688249e-01
1.00000000000e+00 3.13631173993e+00 1.54673793193e-05 1.01476592917e-02 2.23885105135e-10 2.15795022224e-10 2.61081925832e-10 3.39922757390e+01 -4.81894455959e-01
1.01000000000e+00 3.08714027896e+00 1.59551324753e-05 1.01595629686e-02 2.23885870408e-10 2.16028110898e-10 2.61207177406e-10 3.40152464277e+01 -4.91274776210e-01
1.02000000000e+00 3.03956858717e+00 1.64503082670e-05 1.01711752344e-02 2.23886609003e-10 2.16264782380e-10 2.61335555543e-10 3.40200565155e+01 -5.00727439137e-01
1.03000000000e+00 2.99352349358e+00 1.69529155863e-05 1.01825084319e-02 2.23887322058e-10 2.16504725398e-10 2.61467142863e-10 3.40063595590e+01 -5.10253252530e-01
1.04000000000e+00 2.94893599124e+00 1.74629643275e-05 1.01935741047e-02 2.23888010655e-10 2.16747576257e-10 2.61602024508e-10 3.39738006252e+01 -5.19853041647e-01
1.05000000000e+00 2.90574093561e+00 1.79804653458e-05 1.02043830667e-02 2.23888675822e-10 2.16992917151e-10 2.61740288226e-10 3.39220174137e+01 -5.29527649070e-01
1.06000000000e+00 2.86387676691e+00 1.85054304136e-05 1.02149454640e-02 2.23889318537e-10 2.17240275493e-10 2.61882024451e-10 3.38506416061e+01 -5.39277934605e-01
1.07000000000e+00 2.82328525385e+00 1.90378721721e-05 1.02252708304e-02 2.23889939728e-10 2.17489124475e-10 2.62027326395e-10 3.37593004695e+01 -5.49104775210e-01
1.08000000000e+00 2.78391125688e+00 1.95778040801e-05 1.02353681376e-02 2.23890540281e-10 2.17738885084e-10 2.62176290135e-10 3.36476187410e+01 -5.59009064975e-01
1.09000000000e+00 2.74570250873e+00 2.01252403578e-05 1.02452458404e-02 2.23891121035e-10 2.17988929727e-10 2.62329014713e-10 3.35152208237e+01 -5.68991715121e-01
1.10000000000e+00 2.70860941069e+00 2.06801959260e-05 1.02549119173e-02 2.23891682793e-10 2.18238587612e-10 2.62485602229e-10 3.33617333256e+01 -5.79053654039e-01
1.11000000000e+00 2.67258484308e+00 2.12426863398e-05 1.02643739070e-02 2.23892226316e-10 2.18487151906e-10 2.62646157949e-10 3.31867879726e+01 -5.89195827361e-01
